"","cases_per_1000","deaths_per_1000","death_per_case","white_pop_density","black_pop_density","hispanic_pop_density","asian_pop_density","amerindian_pop_density","children_density","poverty_density","local_commuters_density","commuters_in_groups_density","out_of_town_commuters_density","two_parent_families_with_young_children_density","unemployed_pop_density","some_college_and_associates_degree_density","pop_determined_poverty_status_density","not_us_citizen_pop_density","masters_degree_density","bachelors_degree_density","associates_degree_density","k12_students_density","income_under_40_per_density","income_over_40_under_100_density","income_over_100_density","income_200000_or_more_density","children_in_single_female_hh_density","households_public_asst_or_food_stamps_density","median_income_density","employed_pop__density","total_pop_per_1000","bad","state","county"
"1",316.104461371055,2.53899165759884,0.00803212851405622,0.623685165034458,0.0429815016322089,0.307036634022488,0.00380848748639826,0.0108813928182807,0.130395357272398,0.191149800507798,0.23848385926732,0.0304678998911861,0.0527747551686616,0.024664490388103,0.0865070729053319,0.235219441421835,0.775661951396445,0.0524120420747189,0.0174102285092492,0.0366340224882118,0.0174102285092492,0.113891911498005,0.122234312658687,0.0826985854189336,0.0143271672107363,0.00108813928182807,0.029923830250272,0.0400797968806674,6.40043525571273,0.316829887558941,5.514,"TRUE","CO","Crowley County"
"2",260.914168471446,1.59580531175197,0.00611620795107034,0.848626467570956,0.113872107602872,0.0111706371822638,0.00296363843611079,0.00136783312435883,0.212698050837798,0.131311979938448,0.288612789239713,0.0683916562179414,0.0991679015160151,0.0398951327937992,0.0392112162316197,0.168699418670922,0.98803146016186,0.0106007067137809,0.0261028154565143,0.073521030434287,0.0261028154565143,0.163000113986094,0.15912458680041,0.139063034309814,0.0344238002963638,0.00296363843611079,0.0739769748090733,0.05448535278696,4.76188305026787,0.437022683232646,8.773,"TRUE","TN","Trousdale County"
"3",239.97197407602,3.15291644771414,0.0131386861313869,0.203538272902435,0.00122613417411105,0.0131371518654756,0.00070064809949203,0.771063233490979,0.356629882641443,0.311087756174461,0.245226834822211,0.0117358556664915,0.0331056227009984,0.046242774566474,0.119460500963391,0.183219478017166,0.989665440532493,0.00070064809949203,0.0183920126116658,0.0578034682080925,0.0183920126116658,0.218251882991767,0.140830267997898,0.108950779471011,0.0315291644771414,0.00735680504466632,0.145559642669469,0.0982658959537572,7.21492380451918,0.341565948502365,5.709,"TRUE","SD","Dewey County"
"4",218.566999655529,3.10024112986566,0.0141843971631206,0.60799173269032,0.0606269376507062,0.31984154323114,0.00447812607647261,0.00482259731312435,0.15552876334826,0.163279366172925,0.17516362383741,0.0273854633138133,0.0218739235273855,0.0322080606269377,0.0241129865656218,0.224595246296934,0.667585256631071,0.0430589045814674,0.0227351016190148,0.0549431622459525,0.0227351016190148,0.10093007233896,0.16930761281433,0.106097140888736,0.0244574578022735,0.00327247674819153,0.0342748880468481,0.0861178091629349,5.59765759559077,0.235962797106442,5.806,"TRUE","CO","Bent County"
"5",215.849466256559,4.88510946263796,0.0226320201173512,0.89451782160304,0.023701827392799,0.0508413244074543,0.00398045956214945,0.00651347928351728,0.188529039261806,0.09842590917315,0.327483263976841,0.049212954586575,0.0224353175321151,0.0352813461190519,0.0117604487063506,0.268138230504795,0.85199927628008,0.0229781074724082,0.01338881852723,0.0955310294915868,0.01338881852723,0.137144924914058,0.139316084675231,0.157590012665099,0.0437850551836439,0.00416138954224715,0.0600687533924371,0.0282250768952415,9.16826488149086,0.456486339786503,5.527,"TRUE","KS","Norton County"
"6",213.395750810227,2.16060496939143,0.010124873439082,0.645516744688513,0.311487216420598,0.0359380626575441,0,0.00374504861361181,0.177889809146561,0.116672668347137,0.171696074900972,0.0283759452646741,0.0316888728844076,0.0318329132157004,0.0213899891969752,0.149009722722362,0.653150882247029,0.0180050414115952,0.013035649981995,0.0414836154123154,0.013035649981995,0.124162765574361,0.143104069139359,0.108534389629096,0.0282319049333813,0.003024846957148,0.0404753330932661,0.0578321930140439,2.79963989917177,0.241915736406194,13.885,"TRUE","AR","Lincoln County"
"7",212.564543889845,3.29890992541595,0.0155195681511471,0.874211130235227,0.0134825014343087,0.0296901893287435,0.0140562248995984,0.0499139414802065,0.18043602983362,0.0806081468732071,0.2653471026965,0.0431726907630522,0.0266781411359725,0.0387263339070568,0.00487664945496271,0.242254733218589,0.785714285714286,0.00674125071715433,0.0285427423981641,0.0946643717728055,0.0285427423981641,0.135111876075731,0.147733792312106,0.152323580034423,0.0566551921973609,0.00960986804360298,0.0166379804934022,0.0325588066551922,7.5907917383821,0.415519219736087,6.972,"TRUE","SD","Bon Homme County"
"8",205.587770163416,2.50395361096468,0.0121794871794872,0.67053241960991,0.291381128096995,0.0216130732735899,0.0018450184501845,0.00105429625724829,0.152872957301002,0.188587243015287,0.173827095413811,0.0210859251449657,0.0303110173958882,0.0189773326304692,0.0318924617817607,0.133500263574064,0.630469161834475,0.00685292567211386,0.0259620453347391,0.040326831839747,0.0259620453347391,0.140484976278334,0.159989457037428,0.100685292567211,0.0196362677912493,0.00487612018977333,0.0569319978914075,0.113073273589879,4.21626251976805,0.251186083289404,7.588,"TRUE","TN","Lake County"
"9",202.63671875,5.859375,0.0289156626506024,0.1181640625,0.00390625,0.02392578125,0,0.8125,0.38525390625,0.40283203125,0.20263671875,0.0322265625,0.0048828125,0.02734375,0.0595703125,0.14892578125,0.9951171875,0,0.00537109375,0.03662109375,0.00537109375,0.2490234375,0.15673828125,0.087890625,0.01416015625,0,0.1669921875,0.1240234375,14.892578125,0.2900390625,2.048,"TRUE","SD","Buffalo County"
"10",198.089401586157,0.0901225666906993,0.000454959053685168,0.591023792357606,0.178983417447729,0.153118240807498,0.0253244412400865,0.00811103100216294,0.222692862292718,0.102649603460707,0.3478731074261,0.0580389329488104,0.0217195385724585,0.0739906272530642,0.0355984138428262,0.148972602739726,0.68303893294881,0.0290194664744052,0.0274873828406633,0.110310021629416,0.0274873828406633,0.123918529199712,0.0921052631578947,0.101297764960346,0.0263157894736842,0.00603821196827686,0.0376712328767123,0.0242429704397981,4.15428983417448,0.199170872386446,11.096,"FALSE","GA","Chattahoochee County"
