"county_name" "state" "confirmed_cases" "deaths" "total_pop" "white_pop" "black_pop" "asian_pop" "amerindian_pop" "hispanic_pop" "median_income" "households_public_asst_or_food_stamps" "children_in_single_female_hh" "employed_pop" "unemployed_pop" "pop_determined_poverty_status" "not_us_citizen_pop" "two_parent_families_with_young_children" "poverty" "income_under_40" "income_over_40_under_100" "income_over_100" "income_200000_or_more" "commuters_in_groups" "local_commuters" "out_of_town_commuters" "cases_per_1000" "deaths_per_1000" "death_per_case" "k12_students" "children" "some_college_and_associates_degree" "associates_degree" "bachelors_degree" "masters_degree"
"24" "Merrimack County" "NH" 6092 92 147958 137801 1740 2628 123 2936 69856 5475 5031 77527 3239 141319 3543 5787 10899 15658 23833 14104 3652 6543 56990 11735 41.1738466321524 0.621798077832899 0.0151017728168089 20712 29289 31512 11759 22026 11016
"25" "Windham County" "VT" 709 9 43332 40499 343 441 46 948 50831 3322 1697 21882 1300 41792 583 1532 5876 7562 7909 2900 688 1859 15546 1928 16.3620419089818 0.20769869842149 0.0126939351198872 5685 8037 8162 2379 6812 3660
"26" "Strafford County" "NH" 4917 47 126552 115654 1041 4041 59 2792 67805 4764 4461 69103 3189 117505 3982 5217 11127 14017 20155 12290 2081 7071 51029 10112 38.8535937796321 0.371388836209621 0.00955867398820419 16798 24363 23841 7766 18165 8487
"27" "Sullivan County" "NH" 855 8 43073 41105 184 266 145 620 59419 1746 2174 21646 837 42265 307 1257 3953 5838 8023 3320 599 2267 16421 2464 19.8500220555801 0.185731200520047 0.00935672514619883 5991 8410 8591 2857 5232 2253
"28" "Bristol County" "RI" 3251 78 49028 45446 617 980 16 1336 74630 1959 1645 25027 1105 45441 1450 1895 3203 5282 6912 5109 2218 1980 18727 3275 66.3090478910011 1.5909276331892 0.0239926176561058 7036 9488 7749 2765 8420 4841
"29" "Middlesex County" "CT" 8497 298 164110 138523 8046 4780 156 9612 81673 5850 5796 88344 4715 158851 5409 6273 11433 15396 24035 20171 6997 7398 66216 12807 51.7762476387789 1.81585521906039 0.0350712016005649 22671 30873 30873 10904 27082 15729
"30" "Washington County" "VT" 1042 11 58691 55387 468 379 155 1087 60602 3105 3142 31703 1300 56465 734 2136 6658 8228 10411 5152 928 3287 23577 4051 17.7539997614626 0.187422262357091 0.0105566218809981 8100 11401 10356 3573 9466 5337
"31" "Windsor County" "VT" 743 4 55485 52696 393 443 84 833 56828 3207 2399 28099 1315 54456 892 2081 5575 8697 9905 4215 1304 2992 21228 3075 13.3910065783545 0.0720915562764711 0.0053835800807537 7223 10320 10765 3311 8535 4512
"32" "Rockingham County" "NH" 14289 164 302479 281776 1983 5808 314 8054 85619 5773 9316 170757 7729 299957 5716 12835 14402 23779 45145 37883 13148 11798 115475 35546 47.2396430826603 0.542186399717005 0.0114773602071524 44820 61281 63258 22140 55341 26092
"33" "Windham County" "CT" 7402 109 116674 97434 2110 1519 26 12946 62553 7426 6223 59022 4857 111338 3450 4029 12313 14551 17926 10506 1546 5213 42465 10350 63.4417265200473 0.934226991446252 0.0147257497973521 16452 23765 25191 7727 11950 6007
